Vattenkraftverk,Huvudavrinningsområde,Prövningsgrupp ID,Prövningsgrupp,Datum för inlämning ansökan,Status samverkansprocess,Län,Domstol,Beslut,Målnummer,Beslutsdatum,Målnummer MMÖD,Faunapassage uppströms,Fingaller framför turbinintag,Tappningsbestämmelse minimitappningar,Vattenkraftverk storlek,Latitude,Longitude
Abelvattnets reglering,28,28_1,Umeälven,2029-02-01,Pågår,Västerbottens län,Umeå,Ej Beslut,,,,,,,"Medelstora 1,5 - 10 MW",65.288854,16.696751
Aboda kvarn,75,75_1,Alsterån,2027-09-01,Pågår,Kalmar län,Växjö,Ej Beslut,,,,,,,"Småskaliga < 1,5 MW",57.035857,15.741238
Acksjön-Hulteby kraftverk,108,108_5,Alsterälven,2032-02-01,Ej påbörjad,Värmlands län,Vänersborg,Ej Beslut,,,,,,,"Småskaliga < 1,5 MW",59.566431,13.71542
Adolfsfors vattenkraftverk,108,108_B_4,Byälven 4,2038-09-01,Ej påbörjad,Värmlands län,Vänersborg,Ej Beslut,,,,,,,"Småskaliga < 1,5 MW",59.911784,12.045954
Agnäs kraftverk,30,30_1,Öreälven,2026-09-01,Pågår,Västerbottens län,Umeå,Ej Beslut,,,,,,,"Småskaliga < 1,5 MW",64.286866,18.554491
Ajaure kraftverk,28,28_1,Umeälven,2029-02-01,Pågår,Västerbottens län,Umeå,Ej Beslut,,,,,,,Storskaliga >10 MW,65.288854,16.696751
Alab,101,101_2,Kilan,2030-02-01,Ej påbörjad,Jönköpings län,Växjö,Ej Beslut,,,,,,,"Småskaliga < 1,5 MW",57.15931,13.258857
Aledal,67,67_5,Vättern södra,2027-02-01,Pågår,Jönköpings län,Växjö,Ej Beslut,,,,,,,"Småskaliga < 1,5 MW",58.191323,14.487821
Alfta Kraftverk,48,48_2,Voxnan,2031-02-01,Ej påbörjad,Gävleborgs län,Östersund,Ej Beslut,,,,,,,Storskaliga >10 MW,61.552151,15.383386
Algustorps Mölla,88,88_2,Almaån,2029-09-01,Ej påbörjad,Skåne län,Växjö,Ej Beslut,,,,,,,"Småskaliga < 1,5 MW",56.190521,13.733149
Alken (Perserud vattenkraftverk),108,108_B_1,Byälven 1,2037-02-01,Ej påbörjad,Värmlands län,Vänersborg,Ej Beslut,,,,,,,"Småskaliga < 1,5 MW",59.470341,12.602004
Alkvettern,108,108_E_1,Gullspångsälven nedre,2025-07-01,Avslutad,Örebro län,Vänersborg,Ej Beslut,,,,,,,Okänd effekt,59.306976,14.439431
