Id_nummer,Prövnings,Deadline,Coordinates,Deadlinekategori,Totalt,Laga_kraft,Domstol_ej_laga,Domstolsprovning,Samverkan_pagar,Avslutad_ej_ansökan,Ej_paborjad,Län
72_1,Marströmmen,2036-02-01 00:00:00,57.2529 16.0536,Framtida (efter 2030),1,0,0,0,0,0,1,Kalmar län
65_1,Nyköpingsån,2025-07-01 00:00:00,59.0941 16.7004,Passerad,14,0,0,3,0,11,0,Södermanlands län
99_1,Genevadsån,2022-09-01 00:00:00,56.9753 12.8263,Passerad,6,0,0,0,0,6,0,Hallands län
69_1,Vindån,2025-07-01 00:00:00,58.3689 15.6682,Passerad,1,0,0,0,0,1,0,Östergötlands län
109_1,Bäveån,2025-07-01 00:00:00,58.318 12.9015,Passerad,7,0,0,6,1,0,0,Västra Götalands län
108_B_4,Byälven 4,2038-09-01 00:00:00,59.7843 13.1539,Framtida (efter 2030),8,0,0,0,0,0,8,Värmlands län
53_9,Siljan med mindre biflöden,2027-02-01 00:00:00,60.9691 14.3691,Aktuell (2026-2030),13,0,0,0,13,0,0,Dalarnas län
102_1,Suseån,2022-09-01 00:00:00,56.9753 12.8263,Passerad,5,0,4,1,0,0,0,Hallands län
26_1,Sävarån,2026-02-01 00:00:00,64.8701 17.8336,Passerad,3,0,0,0,0,0,3,Västerbottens län
108_B_2,Byälven 2,2037-09-01 00:00:00,59.7843 13.1539,Framtida (efter 2030),3,0,0,0,0,0,3,Värmlands län
108_B_3,Byälven 3,2038-02-01 00:00:00,59.7843 13.1539,Framtida (efter 2030),8,0,0,0,0,0,8,Värmlands län
70/71_1,Mellan Storån och Botorpsströmmen,2036-02-01 00:00:00,57.2529 16.0536,Framtida (efter 2030),1,0,0,0,0,0,1,Kalmar län
108_10,Borgvikeälven,2034-09-01 00:00:00,59.7843 13.1539,Framtida (efter 2030),10,0,0,0,0,0,10,Värmlands län
68/69_1,Mellan Söderköpingsån och Vindån,2025-07-01 00:00:00,58.3689 15.6682,Passerad,1,0,0,0,1,0,0,Östergötlands län
81_1,Nättrabyån,2038-02-01 00:00:00,56.2937 15.2039,Framtida (efter 2030),2,0,0,0,0,0,2,Blekinge län
108_F_4,Tidan biflöden till Stråken,2031-02-01 00:00:00,58.318 12.9015,Framtida (efter 2030),3,0,0,0,0,0,3,Västra Götalands län
108_F_2,Tidan uppströms Östen,2031-02-01 00:00:00,58.318 12.9015,Framtida (efter 2030),24,0,0,0,0,0,24,Västra Götalands län
1_1,Torneälven,2022-09-01 00:00:00,66.9506 20.1036,Passerad,3,1,0,2,0,0,0,Norrbottens län
108_F_3,Ösan uppströms Östen,2031-02-01 00:00:00,58.318 12.9015,Framtida (efter 2030),2,0,0,0,0,0,2,Västra Götalands län
33_1,Husån,2026-09-01 00:00:00,63.1125 17.2764,Aktuell (2026-2030),2,0,0,0,2,0,0,Västernorrlands län
108_F_1,Tidan nedströms Östen,2031-02-01 00:00:00,58.318 12.9015,Framtida (efter 2030),4,0,0,0,0,0,4,Västra Götalands län
53_6,Oreälven,2027-09-01 00:00:00,60.9691 14.3691,Aktuell (2026-2030),7,0,0,0,7,0,0,Dalarnas län
80/81_1,Fylletorpsån,2037-02-01 00:00:00,56.2937 15.2039,Framtida (efter 2030),1,0,0,0,0,0,1,Blekinge län
53_4,Österdalälven,2033-02-01 00:00:00,60.9691 14.3691,Framtida (efter 2030),11,0,0,0,0,0,11,Dalarnas län
53_5,Lillälven uppströms Dalälven,2038-02-01 00:00:00,60.9691 14.3691,Framtida (efter 2030),29,0,0,0,0,0,29,Dalarnas län
53_2,Dalälven mellan,2035-02-01 00:00:00,60.9691 14.3691,Framtida (efter 2030),37,0,0,0,0,0,37,Dalarnas län
53_3,Västerdalälven,2030-09-01 00:00:00,60.9691 14.3691,Aktuell (2026-2030),22,0,0,0,0,0,22,Dalarnas län
67_13,Huskvarnaån,2033-02-01 00:00:00,57.5138 14.4454,Framtida (efter 2030),8,0,0,0,0,0,8,Jönköpings län
42_2,Gimån,2026-02-01 00:00:00,63.2643 14.331,Passerad,3,0,0,0,0,3,0,Jämtlands län
53_1,Dalälven nedre,2026-02-01 00:00:00,61.464 16.3032,Passerad,6,0,0,0,6,0,0,Gävleborgs län
42_1,Ljungan,2025-07-01 00:00:00,63.1125 17.2764,Passerad,33,4,0,0,0,29,0,Västernorrlands län
37_1,Nätraån,2032-02-01 00:00:00,63.1125 17.2764,Framtida (efter 2030),5,0,0,0,0,0,5,Västernorrlands län
62_1,Tyrisöån,2022-02-01 00:00:00,59.4942 18.1112,Passerad,1,0,1,0,0,0,0,Stockholms län
92_1,Kävlingeån,2025-09-01 00:00:00,55.9628 13.6065,Passerad,2,0,0,0,0,0,2,Skåne län
85_1,Mieån,2022-09-01 00:00:00,56.2937 15.2039,Passerad,7,0,3,4,0,0,0,Blekinge län
27_1,Tavelån,2025-07-01 00:00:00,64.8701 17.8336,Passerad,1,0,0,0,0,1,0,Västerbottens län
73_1,Virån,2035-09-01 00:00:00,57.2529 16.0536,Framtida (efter 2030),1,0,0,0,0,0,1,Kalmar län
66_1,Kilaån,2022-02-01 00:00:00,59.0941 16.7004,Passerad,4,1,0,0,0,3,0,Södermanlands län
96_1,Rönne å,2022-02-01 00:00:00,55.9628 13.6065,Passerad,18,5,3,10,0,0,0,Skåne län
106_1,Rolfsån,2022-09-01 00:00:00,58.318 12.9015,Passerad,13,2,3,7,0,1,0,Västra Götalands län
103_1,Ätran samt Högvadsån,2026-09-01 00:00:00,56.9753 12.8263,Aktuell (2026-2030),13,0,0,0,0,13,0,Hallands län
38_3,Fjällsjöälven,2030-02-01 00:00:00,63.2643 14.331,Aktuell (2026-2030),10,0,0,0,0,0,10,Jämtlands län
38_4,Vojmån,2029-09-01 00:00:00,64.8701 17.8336,Aktuell (2026-2030),2,0,0,0,2,0,0,Västerbottens län
38_1,Ångermanälven,2028-02-01 00:00:00,63.1125 17.2764,Aktuell (2026-2030),27,0,0,0,27,0,0,Västernorrlands län
38_2,Faxälven,2029-02-01 00:00:00,63.2643 14.331,Aktuell (2026-2030),19,0,0,0,0,0,19,Jämtlands län
30_1,Öreälven,2026-09-01 00:00:00,64.8701 17.8336,Aktuell (2026-2030),2,0,0,0,2,0,0,Västerbottens län
82_1,Ronnebyån,2036-09-01 00:00:00,56.2937 15.2039,Framtida (efter 2030),15,0,0,0,0,0,15,Blekinge län
34_1,Gideälven,2027-09-01 00:00:00,63.1125 17.2764,Aktuell (2026-2030),7,0,0,0,7,0,0,Västernorrlands län
50_1,Hamrångeån,2022-02-01 00:00:00,61.464 16.3032,Passerad,3,0,2,0,0,1,0,Gävleborgs län
108_C_1,Norsälven nedströms Övre Fryken,2036-02-01 00:00:00,59.7843 13.1539,Framtida (efter 2030),17,0,0,0,0,0,17,Värmlands län
77_1,Ljunbyån,2036-02-01 00:00:00,57.2529 16.0536,Framtida (efter 2030),7,0,0,0,0,0,7,Kalmar län
